id,review,sentiScore_pos,sentiScore_neg,rating,past,sentiScore,title,dataSource,length_words,stopwords_removal,stemmed
1,"Besides the occasional crash, this is an amazing product with tons of potential depending on how you work with it!",3,-1,5,0,3,Almost perfect,RE2014_app_and_play_store_apps,22,"besides occasional crash, this amazing product with tons of potential depending how work with it!","besid the occa crash, thi is an amaz produc with ton of pot depend on how you work with it!"
2,"This could be a great app if it was predictable, but it is full of bugs and is unpredictable.  if you are able to check in, take a screen shot of your boarding pass or print a backup copy, because you may not be able to access it when you need it most.",3,-1,1,1,3,Take a photo of your boarding pass,AppStore_Random,58,"this could be great app if was predictable, but full of bugs unpredictable if able to check in, take screen shot of boarding pass or print backup copy, because may not be able to access when need most","thi could be a gre ap if it was predictable, but it is ful of bug and is unpredictable if you ar abl to check in, tak a screen shot of yo board pass or print a backup copy, beca you may not be abl to access it when you nee it most"
3,I can't open since the last 2 updates Pop-ups go crazy on the iPhone 5! I'm uninstalling,2,-1,1,0,2,Won't open due to pop-ups since upgrade,RE2014_app_and_play_store_apps,24,can't open since last 2 updates pop-ups go crazy iphone 5! i'm uninstalling,i can't op sint the last 2 upd pop-ups go crazy on the iphon 5! i'm uninst
4,Use to love this app but it's not working after new update. Pages won't scroll up or down...none of the different tabs work...it's frozen! Please fix ASAP!!!,3,-1,1,1,3,Not Working After Update,AppStore_Random,39,use to love this app but its not working after new update pages wont scroll or downnone of different tabs workits frozen! please fix asap!!!,us to lov thi ap but its not work aft new update pag wont scroll up or downnone of the diff tab workits frozen! plea fix asap!!!
5,"Urrrrm After my third re installing, it finally has scenery. Before hand, it was just black shapes everywhere. I could not even see the walls. This killed my internet as it is a very big game that takes half an hour to install - if you don't like the game, their is no chance of a refund. Once I finally got the proper game, it is very pretty with smooth graphics, an amazing sound track, and some of the best scenery I've ever seen on my tablet. In the next update, I want to be seeing the right installment first time, a chance of a refund, and free roam! Free roam was the best part of the old games, I would love to have it on my tablet! Thank you ?",4,-4,3,5,-4,,PlayStore_Random,150,"urrrrm after third re installing, finally has scenery before hand, was just black shapes everywhere could not even see walls this killed internet as very big game that takes half hour to install - if dont like game, no chance of refund once finally got proper game, very pretty with smooth graphics, amazing sound track, some of best scenery ive ever seen tablet next update, want to be seeing right installment first time, chance of refund, free roam! free roam was best part of old games, would love to have tablet! thank ?","urrrrm aft my third re installing, it fin has scenery bef hand, it was just black shap everywhere i could not ev see the walls thi kil my internet as it is a very big gam that tak half an hour to inst - if you dont lik the game, their is no chant of a refund ont i fin got the prop game, it is very pretty with smoo graphics, an amaz sound track, and som of the best scenery ive ev seen on my tablet in the next update, i want to be see the right inst first time, a chant of a refund, and fre roam! fre roam was the best part of the old games, i would lov to hav it on my tablet! thank you ?"
6,This app serves its purpose for me perfectly except for the mobile deposit won't work. It keeps saying can't find endorsement. After calling PNC multiple times about this still no fix.,2,-1,1,0,2,Needs work,AppStore_Random,36,this app serves purpose for perfectly except for mobile deposit wont work keeps saying cant find endorsement after calling pnc multiple times about this still no fix,thi ap serv it purpo for me perfect exceiv for the mobl deposit wont work it keep say cant find endorsement aft cal pnc multipl tim about thi stil no fix
7,Album function needs improvement Current version opens up all possible folders which includ cache files which should be selectable from settings to avoid unnecessary browsing resulting low productivity.,2,-2,2,0,-2,,PlayStore_Random,29,album function needs improvement current version opens all possible folders which includ cache files which should be selectable from settings to avoid unnecessary browsing resulting low productivity,alb funct nee improv cur vert op up al poss fold which includ cach fil which should be select from set to avoid unnecess brow result low productivity
8,I'm very disappointed that I can't open most excel files anymore! Repeated tries works occasionally but it should work every time!,2,-3,3,2,-3,Excel files don't open with update!,RE2014_app_and_play_store_apps,29,i'm very disappointed that can't open most excel files anymore! repeated tries works occasionally but should work every time!,i'm very disappoint that i can't op most excel fil anymore! rep tri work occa but it should work every time!
9,"NEEDS TO BE UPDATED. Was Fun & Challenging. Desperately in need of an update. Paid for the Allie levels SEPTEMBER 1 and still no new levels- when is ""soon""?? No new levels of the week. No updates. Used to be a favorite...",2,-3,1,5,-3,,PlayStore_Random,52,needs to be updated was fun & challenging desperately need of update paid for allie levels september 1 still no new levels- when soon?? no new levels of week no updates used to be favorite,nee to be updated was fun & challenging desp in nee of an update paid for the al level septemb 1 and stil no new levels- when is soon?? no new level of the week no updates us to be a favorite
10,It's good if you want to browse but is horrible at letting me post anything. It stays frozen on signing in and I have to close the app.,2,-4,3,2,-4,It's good to look at stuff,AppStore_Random,31,its good if want to browse but horrible at letting post anything stays frozen signing have to close app,its good if you want to brow but is hor at let me post anything it stay froz on sign in and i hav to clo the app
